N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+38+146,0.00000000,1,0.00000000,0.00000000,2.229402e-13,10.117 13.478 17.924 
3mer-0+76+146,0.00000000,1,0.00000000,0.00000000,1.243982e-13,12.288 13.478 17.924 
3mer-0+73+127,0.00000000,1,0.00000000,0.00000000,9.753081e-13, 6.186 13.478 17.924 
3mer-0+17+106,0.00000000,1,0.00000000,0.00000000,1.535614e-12, 5.156 13.898 17.924 
3mer-0+31+106,0.00000000,1,0.00000000,0.00000000,5.012254e-13, 7.489 13.898 17.924 
3mer-0+125+145,0.00000000,1,0.00000000,0.00000000,5.396517e-14,14.197 15.410 17.924 
3mer-0+77+121,0.00000000,1,0.00000000,0.00000000,1.384720e-13,11.016 14.507 17.924 
3mer-0+6+155,0.00000000,1,0.00000000,0.00000000,9.510323e-12, 2.680 14.563 17.924 
3mer-0+13+155,0.00000000,1,0.00000000,0.00000000,9.510323e-12, 2.680 14.563 17.924 
3mer-0+17+136,0.00000000,1,0.00000000,0.00000000,1.294054e-12, 5.156 14.714 17.924 
3mer-0+68+136,0.00000000,1,0.00000000,0.00000000,2.642804e-13, 8.756 14.714 17.924 
3mer-0+37+143,0.00000000,1,0.00000000,0.00000000,1.011152e-12, 5.514 14.939 17.924 
3mer-0+132+143,0.00000000,1,0.00000000,0.00000000,1.170994e-13,11.312 14.939 17.924 
3mer-0+123+125,0.00000000,1,0.00000000,0.00000000,5.862728e-14,13.810 15.410 17.924 
3mer-0+123+131,0.00000000,1,0.00000000,0.00000000,5.862728e-14,13.810 15.410 17.924 
3mer-0+107+162,0.00000000,1,0.00000000,0.00000000,1.278706e-13,10.429 15.736 17.924 
3mer-0+58+156,0.00000000,1,0.00000000,0.00000000,9.938828e-14,10.744 16.613 17.924 
3mer-0+72+156,0.00000000,1,0.00000000,0.00000000,9.938828e-14,10.744 16.613 17.924 
3mer-0+42+48,0.00000000,2,0.00000000,0.00000000,2.181902e-12, 7.916  7.992 18.059 
3mer-0+42+69,0.00000000,2,0.00000000,0.00000000,2.181902e-12, 7.916  7.992 18.059 
3mer-0+54+59,0.00000000,1,0.00000000,0.00000000,7.239338e-13, 8.756 10.437 18.059 
3mer-0+45+112,0.00000000,2,0.00000000,0.00000000,1.659327e-12, 7.916  8.756 18.059 
3mer-0+40+54,0.00000000,1,0.00000000,0.00000000,9.519236e-13, 7.992 10.437 18.059 
3mer-0+40+86,0.00000000,1,0.00000000,0.00000000,8.496843e-13, 7.992 10.840 18.059 
3mer-0+15+105,0.00000000,2,0.00000000,0.00000000,1.805149e-12, 6.186 10.895 18.059 
3mer-0+23+105,0.00000000,2,0.00000000,0.00000000,1.805149e-12, 6.186 10.895 18.059 
3mer-0+39+95,0.00000000,1,0.00000000,0.00000000,4.560591e-13, 9.561 11.150 18.059 
3mer-0+26+95,0.00000000,2,0.00000000,0.00000000,6.361698e-13, 8.557 11.150 18.059 
3mer-0+26+115,0.00000000,2,0.00000000,0.00000000,6.361698e-13, 8.557 11.150 18.059 
3mer-0+82+115,0.00000000,1,0.00000000,0.00000000,2.155000e-13,11.150 12.275 18.059 
3mer-0+15+142,0.00000000,2,0.00000000,0.00000000,1.612761e-12, 6.186 11.312 18.059 
3mer-0+77+142,0.00000000,2,0.00000000,0.00000000,2.855275e-13,11.016 11.312 18.059 
3mer-0+16+158,0.00000000,2,0.00000000,0.00000000,3.327151e-12, 4.716 11.654 18.059 
3mer-0+19+108,0.00000000,1,0.00000000,0.00000000,3.327151e-12, 4.716 11.654 18.059 
3mer-0+37+158,0.00000000,2,0.00000000,0.00000000,2.082317e-12, 5.514 11.654 18.059 
3mer-0+67+108,0.00000000,1,0.00000000,0.00000000,3.827384e-13, 9.698 11.654 18.059 
3mer-0+65+164,0.00000000,2,0.00000000,0.00000000,6.289402e-13, 7.916 12.099 18.059 
3mer-0+86+99,0.00000000,1,0.00000000,0.00000000,2.449241e-13,10.840 12.099 18.059 
3mer-0+163+164,0.00000000,1,0.00000000,0.00000000,1.604454e-13,12.099 12.481 18.059 
3mer-0+71+102,0.00000000,1,0.00000000,0.00000000,1.596956e-13,12.288 12.308 18.059 
3mer-0+76+102,0.00000000,1,0.00000000,0.00000000,1.596956e-13,12.288 12.308 18.059 
3mer-0+68+126,0.00000000,2,0.00000000,0.00000000,4.233016e-13, 8.756 12.481 18.059 
3mer-0+71+147,0.00000000,1,0.00000000,0.00000000,1.273594e-13,12.288 13.272 18.059 
3mer-0+52+103,0.00000000,1,0.00000000,0.00000000,1.758412e-13,10.840 13.512 18.059 
3mer-0+61+103,0.00000000,1,0.00000000,0.00000000,1.969995e-13,10.437 13.512 18.059 
3mer-0+59+116,0.00000000,1,0.00000000,0.00000000,3.237950e-13, 8.756 13.648 18.059 
3mer-0+14+113,0.00000000,1,0.00000000,0.00000000,1.374477e-12, 5.382 13.713 18.059 
3mer-0+28+113,0.00000000,1,0.00000000,0.00000000,1.374477e-12, 5.382 13.713 18.059 
3mer-0+14+137,0.00000000,1,0.00000000,0.00000000,1.364480e-12, 5.382 13.747 18.059 
3mer-0+64+137,0.00000000,1,0.00000000,0.00000000,1.875193e-13,10.429 13.747 18.059 
3mer-0+52+140,0.00000000,1,0.00000000,0.00000000,1.420816e-13,10.840 14.507 18.059 
3mer-0+140+143,0.00000000,1,0.00000000,0.00000000,5.428047e-14,14.507 14.939 18.059 
3mer-0+76+161,0.00000000,1,0.00000000,0.00000000,8.505507e-14,12.288 15.184 18.059 
3mer-0+144+159,0.00000000,1,0.00000000,0.00000000,3.696119e-14,15.560 15.831 18.059 
3mer-0+61+162,0.00000000,1,0.00000000,0.00000000,1.247080e-13,10.437 15.736 18.059 
3mer-0+149+162,0.00000000,1,0.00000000,0.00000000,5.577834e-14,13.648 15.736 18.059 
3mer-0+147+148,0.00000000,1,0.00000000,0.00000000,5.926385e-14,13.272 15.858 18.059 
3mer-0+37+85,0.00000000,2,0.00000000,0.00000000,5.696664e-12, 5.514  8.324 18.078 
3mer-0+55+60,0.00000000,2,0.00000000,0.00000000,1.047070e-12, 8.324  9.698 18.078 
3mer-0+53+59,0.00000000,2,0.00000000,0.00000000,1.292327e-12, 8.595  8.756 18.078 
3mer-0+43+68,0.00000000,2,0.00000000,0.00000000,1.292327e-12, 8.595  8.756 18.078 
3mer-0+12+107,0.00000000,2,0.00000000,0.00000000,3.542517e-12, 5.156 10.429 18.078 
3mer-0+31+64,0.00000000,2,0.00000000,0.00000000,1.156280e-12, 7.489 10.429 18.078 
3mer-0+44+72,0.00000000,1,0.00000000,0.00000000,6.115008e-13, 8.989 10.744 18.078 
3mer-0+17+90,0.00000000,1,0.00000000,0.00000000,3.005490e-12, 5.156 11.016 18.078 
3mer-0+27+77,0.00000000,2,0.00000000,0.00000000,9.809940e-13, 7.489 11.016 18.078 
3mer-0+60+142,0.00000000,2,0.00000000,0.00000000,6.597189e-13, 8.324 11.312 18.078 
3mer-0+39+92,0.00000000,1,0.00000000,0.00000000,4.119882e-13, 9.561 11.522 18.078 
3mer-0+47+80,0.00000000,1,0.00000000,0.00000000,3.578233e-13,10.021 11.522 18.078 
3mer-0+45+139,0.00000000,2,0.00000000,0.00000000,7.021396e-13, 7.916 11.651 18.078 
