N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
2mer-0+1,-7.52448951,4,-15.04897903,-15.04897903,9.001449e-03, 2.544 
2mer-0+2,-10.57186415,4,-21.14372830,-36.19270733,8.127517e-03, 2.632 
2mer-0+6,-16.88959605,4,-33.77919210,-69.97189943,7.702494e-03, 2.680 
2mer-0+16,-1.74263915,2,-1.74263915,-71.71453858,1.412501e-03, 4.716 
2mer-0+5,-0.16958102,2,-0.16958102,-71.88411960,1.216975e-03, 4.956 
2mer-0+21,-1.09949650,2,-1.09949650,-72.98361610,1.144258e-03, 5.059 
2mer-0+12,-0.21832946,4,-0.43665892,-73.42027503,1.080953e-03, 5.156 
2mer-0+14,-0.33313101,4,-0.66626202,-74.08653704,9.506992e-04, 5.382 
2mer-0+37,0.00481858,2,0.00481858,-74.08171846,8.840221e-04, 5.514 
2mer-0+15,-0.20982704,4,-0.41965409,-74.50137255,6.261051e-04, 6.186 
2mer-0+8,-0.07818187,4,-0.15636373,-74.65773628,6.236921e-04, 6.194 
2mer-0+10,-0.09627392,4,-0.19254784,-74.85028412,4.827827e-04, 6.746 
2mer-0+27,-0.15910186,4,-0.31820373,-75.16848785,3.528237e-04, 7.489 
2mer-0+18,-0.01829264,2,-0.01829264,-75.18678050,3.523333e-04, 7.492 
2mer-0+22,-0.02260975,2,-0.02260975,-75.20939025,3.505125e-04, 7.505 
2mer-0+45,-0.03863239,4,-0.07726478,-75.28665503,2.987386e-04, 7.916 
2mer-0+40,-0.11068818,4,-0.22137635,-75.50803138,2.902837e-04, 7.992 
2mer-0+60,-0.02451613,4,-0.04903226,-75.55706364,2.569059e-04, 8.324 
2mer-0+26,-0.09328663,2,-0.09328663,-75.65035026,2.364929e-04, 8.557 
2mer-0+43,0.00471303,4,0.00942607,-75.64092419,2.333832e-04, 8.595 
2mer-0+59,-0.00094439,4,-0.00188878,-75.64281298,2.207595e-04, 8.756 
2mer-0+32,-0.08435258,2,-0.08435258,-75.72716556,2.142829e-04, 8.843 
2mer-0+44,-0.00222406,2,-0.00222406,-75.72938962,2.040349e-04, 8.989 
2mer-0+39,0.00011841,1,0.00005921,-75.72933041,1.695377e-04, 9.561 
2mer-0+55,0.06383929,2,0.06383929,-75.66549113,1.624869e-04, 9.698 
2mer-0+33,0.00110534,2,0.00110534,-75.66438579,1.476099e-04,10.013 
2mer-0+47,-0.03575379,2,-0.03575379,-75.70013958,1.472482e-04,10.021 
2mer-0+34,-0.01219676,2,-0.01219676,-75.71233634,1.431179e-04,10.117 
2mer-0+64,-0.01840633,4,-0.03681266,-75.74914900,1.306538e-04,10.429 
2mer-0+54,-0.00539540,2,-0.00539540,-75.75454440,1.303341e-04,10.437 
2mer-0+58,-0.01130488,2,-0.01130488,-75.76584927,1.194838e-04,10.744 
2mer-0+52,-0.02249239,2,-0.02249239,-75.78834167,1.163359e-04,10.840 
2mer-0+98,-0.04030693,2,-0.04030693,-75.82864860,1.145894e-04,10.895 
2mer-0+77,-0.03425909,3,-0.05138864,-75.88003724,1.108473e-04,11.016 
2mer-0+95,-0.00932682,4,-0.01865365,-75.89869089,1.069138e-04,11.150 
2mer-0+132,-0.00454737,2,-0.00454737,-75.90323826,1.023768e-04,11.312 
2mer-0+80,0.00016147,2,0.00016147,-75.90307679,9.688024e-05,11.522 
2mer-0+57,-0.00360927,2,-0.00360927,-75.90668606,9.587804e-05,11.562 
2mer-0+129,-0.02516226,2,-0.02516226,-75.93184833,9.370198e-05,11.651 
2mer-0+94,0.00372243,3,0.00558365,-75.92626468,9.361866e-05,11.654 
2mer-0+63,0.00051302,2,0.00051302,-75.92575165,9.064675e-05,11.780 
2mer-0+153,-0.00609011,2,-0.00609011,-75.93184176,8.893838e-05,11.855 
2mer-0+88,0.00607199,4,0.01214399,-75.91969778,8.367519e-05,12.099 
2mer-0+104,-0.01489971,2,-0.01489971,-75.93459749,8.351303e-05,12.106 
2mer-0+82,-0.00573540,1,-0.00286770,-75.93746519,8.011105e-05,12.275 
2mer-0+71,-0.00629306,2,-0.00629306,-75.94375825,7.985817e-05,12.288 
2mer-0+102,-0.00936017,1,-0.00468008,-75.94843833,7.947901e-05,12.308 
2mer-0+74,-0.01101948,2,-0.01101948,-75.95945782,7.688576e-05,12.445 
2mer-0+119,-0.02476398,3,-0.03714596,-75.99660378,7.620951e-05,12.481 
2mer-0+147,0.00242176,1,0.00121088,-75.99539290,6.338558e-05,13.272 
2mer-0+127,-0.00907058,2,-0.00907058,-76.00446348,6.052864e-05,13.478 
2mer-0+89,-0.00632483,2,-0.00632483,-76.01078831,6.007389e-05,13.512 
2mer-0+116,-0.00518484,2,-0.00518484,-76.01597314,5.829474e-05,13.648 
2mer-0+113,-0.01234956,1,-0.00617478,-76.02214792,5.746100e-05,13.713 
2mer-0+137,-0.00396608,1,-0.00198304,-76.02413096,5.704305e-05,13.747 
2mer-0+123,-0.00703266,1,-0.00351633,-76.02764730,5.625858e-05,13.810 
2mer-0+106,-0.00338926,2,-0.00338926,-76.03103655,5.520033e-05,13.898 
2mer-0+145,0.00080078,1,0.00040039,-76.03063616,5.178484e-05,14.197 
2mer-0+93,-0.00067370,1,-0.00033685,-76.03097302,5.162710e-05,14.212 
2mer-0+121,0.00135765,2,0.00135765,-76.02961537,4.854035e-05,14.507 
2mer-0+155,-0.01004490,1,-0.00502245,-76.03463782,4.797668e-05,14.563 
2mer-0+109,-0.00116677,2,-0.00116677,-76.03580459,4.675616e-05,14.689 
2mer-0+136,-0.00134951,2,-0.00134951,-76.03715410,4.651702e-05,14.714 
2mer-0+143,-0.00907320,1,-0.00453660,-76.04169070,4.444464e-05,14.939 
2mer-0+161,-0.00844046,1,-0.00422023,-76.04591093,4.233111e-05,15.184 
2mer-0+135,0.00142250,1,0.00071125,-76.04519968,4.146952e-05,15.288 
2mer-0+125,-0.00181553,2,-0.00181553,-76.04701521,4.049275e-05,15.410 
2mer-0+159,-0.00124685,1,-0.00062342,-76.04763864,3.933340e-05,15.560 
2mer-0+141,0.00167979,1,0.00083990,-76.04679874,3.839140e-05,15.686 
2mer-0+150,-0.00672495,2,-0.00672495,-76.05352369,3.802900e-05,15.736 
2mer-0+144,-0.00359037,1,-0.00179519,-76.05531888,3.734765e-05,15.831 
2mer-0+148,-0.00472800,1,-0.00236400,-76.05768288,3.716021e-05,15.858 
2mer-0+156,-0.00368830,1,-0.00184415,-76.05952703,3.232156e-05,16.613 
3mer-0+1+13,0.30782067,6,0.61564133,-75.44388570,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+2,-0.04117571,6,-0.08235142,-75.52623712,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+3,-0.11381725,6,-0.22763449,-75.75387161,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+6,-0.01044844,6,-0.02089688,-75.77476849,5.635101e-07, 2.544  2.632  2.680 
3mer-0+2+3,-0.02887026,6,-0.05774051,-75.83250900,9.330492e-08, 2.632  2.632  4.716 
3mer-0+6+13,-0.32356237,6,-0.64712475,-76.47963375,8.380146e-08, 2.680  2.680  4.716 
3mer-0+1+5,-0.02549124,6,-0.05098248,-76.53061623,9.860669e-08, 2.544  2.544  4.956 
3mer-0+2+5,-0.03015071,6,-0.06030143,-76.59091766,8.038911e-08, 2.632  2.632  4.956 
3mer-0+1+4,0.05992965,6,0.11985931,-76.47105835,9.271478e-08, 2.544  2.544  5.059 
3mer-0+6+11,-0.37437577,6,-0.74875154,-77.21980989,6.788704e-08, 2.680  2.680  5.059 
3mer-0+1+7,-0.05188224,6,-0.10376447,-77.32357436,7.494636e-08, 2.544  2.680  5.156 
3mer-0+1+12,0.07880542,6,0.15761084,-77.16596351,7.494636e-08, 2.544  2.680  5.156 
3mer-0+2+17,0.00177956,6,0.00355913,-77.16240439,1.005284e-08, 2.632  5.059  5.156 
3mer-0+2+21,0.03013023,6,0.06026047,-77.10214392,1.005284e-08, 2.632  5.059  5.156 
3mer-0+5+12,-0.00084279,6,-0.00168557,-77.10382949,1.421985e-09, 4.956  5.156  5.156 
3mer-0+2+14,0.08575407,6,0.17150814,-76.93232135,5.951582e-08, 2.632  2.680  5.382 
3mer-0+2+28,-0.05508797,6,-0.11017594,-77.04249729,5.951582e-08, 2.632  2.680  5.382 
3mer-0+1+14,-0.01337797,6,-0.02675594,-77.06925323,1.208772e-08, 2.544  4.716  5.382 
3mer-0+1+16,0.05338192,6,0.10676384,-76.96248939,1.208772e-08, 2.544  4.716  5.382 
3mer-0+14+21,0.00323540,6,0.00647081,-76.95601859,1.034214e-09, 5.059  5.382  5.382 
3mer-0+6+12,-0.00893668,6,-0.01787335,-76.97389194,7.915552e-09, 2.680  5.156  5.382 
3mer-0+6+7,0.04897896,3,0.04897896,-76.92491298,5.244764e-08, 2.680  2.680  5.514 
3mer-0+16+25,0.02640071,6,0.05280142,-76.87211155,1.428815e-09, 4.716  5.059  5.514 
3mer-0+2+12,-0.00154379,6,-0.00308759,-76.87519914,7.766542e-09, 2.632  5.156  5.514 
3mer-0+2+41,0.00353891,6,0.00707782,-76.86812132,7.766542e-09, 2.632  5.156  5.514 
3mer-0+1+37,-0.01630672,6,-0.03261343,-76.90073475,7.565170e-09, 2.544  5.382  5.514 
3mer-0+2+7,-0.06634086,6,-0.13268172,-77.03341648,3.919553e-08, 2.632  2.680  6.186 
3mer-0+2+13,0.13846964,6,0.27693928,-76.75647720,3.919553e-08, 2.632  2.680  6.186 
3mer-0+1+19,-0.01260765,6,-0.02521530,-76.78169250,7.960649e-09, 2.544  4.716  6.186 
3mer-0+1+23,0.04707258,6,0.09414517,-76.68754733,7.960649e-09, 2.544  4.716  6.186 
3mer-0+15+23,-0.00894875,6,-0.01789751,-76.70544484,4.485579e-10, 5.059  6.186  6.186 
3mer-0+6+50,0.02267250,6,0.04534500,-76.66009983,5.212971e-09, 2.680  5.156  6.186 
3mer-0+5+14,0.00212534,6,0.00425068,-76.65584915,7.243890e-10, 4.956  5.382  6.186 
3mer-0+5+23,0.00254936,6,0.00509872,-76.65075043,7.243890e-10, 4.956  5.382  6.186 
3mer-0+1+15,-0.00788595,6,-0.01577190,-76.66652233,4.982219e-09, 2.544  5.514  6.186 
3mer-0+1+8,0.00753361,6,0.01506722,-76.65145511,4.562896e-08, 2.544  2.632  6.194 
3mer-0+1+9,-0.02960592,6,-0.05921184,-76.71066696,4.562896e-08, 2.544  2.632  6.194 
3mer-0+5+7,0.01378834,6,0.02757667,-76.68309028,5.846328e-09, 2.680  4.956  6.194 
3mer-0+5+8,-0.00904012,6,-0.01808024,-76.70117052,5.846328e-09, 2.680  4.956  6.194 
3mer-0+8+9,0.00426014,6,0.00852027,-76.69265025,5.494514e-10, 4.716  6.194  6.194 
3mer-0+8+15,-0.00127258,6,-0.00254516,-76.69519541,4.221086e-10, 5.156  6.186  6.194 
3mer-0+1+50,-0.01065743,6,-0.02131486,-76.71651027,6.068612e-09, 2.544  5.156  6.194 
3mer-0+2+8,-0.00818263,6,-0.01636526,-76.73287553,4.819159e-09, 2.632  5.382  6.194 
3mer-0+2+56,0.00558995,6,0.01117990,-76.72169563,3.173769e-09, 2.632  6.186  6.194 
3mer-0+1+29,-0.01164619,6,-0.02329238,-76.74498801,3.532011e-08, 2.544  2.632  6.746 
3mer-0+1+30,0.03145007,6,0.06290015,-76.68208787,3.532011e-08, 2.544  2.632  6.746 
3mer-0+5+6,0.02395138,6,0.04790277,-76.63418510,4.525480e-09, 2.680  4.956  6.746 
3mer-0+5+13,-0.00192318,6,-0.00384636,-76.63803146,4.525480e-09, 2.680  4.956  6.746 
3mer-0+10+16,-0.00040328,6,-0.00080655,-76.63883801,3.292246e-10, 4.716  6.746  6.746 
3mer-0+10+17,-0.00131170,6,-0.00262340,-76.64146141,4.961369e-10, 5.156  5.382  6.746 
3mer-0+8+10,0.00141777,6,0.00283554,-76.63862587,3.445451e-10, 5.059  6.194  6.746 
3mer-0+8+21,0.00385817,6,0.00771634,-76.63090953,3.445451e-10, 5.059  6.194  6.746 
3mer-0+1+10,0.00656270,6,0.01312540,-76.61778413,4.697544e-09, 2.544  5.156  6.746 
3mer-0+2+10,0.00307446,6,0.00614892,-76.61163521,3.730377e-09, 2.632  5.382  6.746 
3mer-0+8+37,-0.00214372,6,-0.00428744,-76.61592265,2.661859e-10, 5.514  6.194  6.746 
3mer-0+2+73,0.00804689,6,0.01609379,-76.59982886,2.456727e-09, 2.632  6.186  6.746 
3mer-0+1+11,0.01689772,6,0.03379543,-76.56603343,2.446254e-08, 2.544  2.680  7.489 
3mer-0+1+27,-0.15184656,6,-0.30369312,-76.86972655,2.446254e-08, 2.544  2.680  7.489 
3mer-0+12+16,0.00387603,6,0.00775205,-76.86197450,5.387077e-10, 4.716  5.156  7.489 
3mer-0+12+27,0.01065480,6,0.02130961,-76.84066490,5.387077e-10, 4.716  5.156  7.489 
3mer-0+2+25,-0.01160497,6,-0.02320994,-76.86387484,3.281253e-09, 2.632  5.059  7.489 
3mer-0+2+27,0.00847249,6,0.01694497,-76.84692986,3.281253e-09, 2.632  5.059  7.489 
3mer-0+6+28,0.00133822,6,0.00267643,-76.84425343,2.583641e-09, 2.680  5.382  7.489 
3mer-0+8+27,0.00148314,6,0.00296629,-76.84128714,2.092045e-10, 5.382  6.194  7.489 
3mer-0+6+73,-0.02529984,6,-0.05059968,-76.89188682,1.701517e-09, 2.680  6.186  7.489 
3mer-0+10+23,-0.00221382,6,-0.00442764,-76.89631446,1.066490e-10, 6.186  6.746  7.489 
3mer-0+1+49,0.01446125,6,0.02892250,-76.86739196,1.980799e-09, 2.544  6.194  7.489 
3mer-0+1+20,-0.00273026,6,-0.00546051,-76.87285247,1.533281e-09, 2.544  6.746  7.489 
3mer-0+5+27,0.00333754,6,0.00667507,-76.86617740,1.514945e-10, 4.956  7.489  7.489 
3mer-0+2+18,0.01750158,3,0.01750158,-76.84867582,2.327392e-08, 2.632  2.632  7.492 
3mer-0+5+16,-0.00045762,6,-0.00091525,-76.84959107,6.056532e-10, 4.716  4.956  7.492 
3mer-0+1+18,0.01002074,6,0.02004149,-76.82954958,3.015153e-09, 2.544  5.382  7.492 
3mer-0+1+51,0.00049648,6,0.00099296,-76.82855662,3.015153e-09, 2.544  5.382  7.492 
3mer-0+6+8,-0.00203397,6,-0.00406795,-76.83262457,1.692604e-09, 2.680  6.194  7.492 
3mer-0+6+18,0.00102946,6,0.00205892,-76.83056565,1.310198e-09, 2.680  6.746  7.492 
3mer-0+12+49,-0.00023918,6,-0.00047837,-76.83104401,1.343749e-10, 5.156  7.489  7.492 
3mer-0+1+22,0.03111217,3,0.03111217,-76.79993184,2.840065e-08, 2.544  2.544  7.505 
3mer-0+5+22,-0.00055792,6,-0.00111584,-76.80104768,4.881003e-10, 4.956  5.059  7.505 
3mer-0+2+22,0.00089477,6,0.00178954,-76.79925814,3.079414e-09, 2.632  5.156  7.505 
3mer-0+18+22,-0.00049858,6,-0.00099716,-76.80025531,1.091743e-10, 5.514  7.492  7.505 
3mer-0+14+22,-0.00091262,6,-0.00182525,-76.80208055,2.086382e-10, 5.382  6.186  7.505 
3mer-0+6+96,0.00527935,6,0.01055871,-76.79152184,1.683857e-09, 2.680  6.194  7.505 
3mer-0+6+22,-0.00319077,6,-0.00638154,-76.79790338,1.683857e-09, 2.680  6.194  7.505 
3mer-0+2+49,0.01067659,6,0.02135319,-76.77655019,1.005123e-09, 2.632  7.489  7.505 
3mer-0+6+45,0.07425937,6,0.14851874,-76.62803146,3.250211e-09, 2.680  4.716  7.916 
3mer-0+6+16,-0.03273210,6,-0.06546421,-76.69349566,3.250211e-09, 2.680  4.716  7.916 
3mer-0+2+45,0.00962561,6,0.01925121,-76.67424445,2.308300e-09, 2.632  5.382  7.916 
3mer-0+2+65,-0.00359168,6,-0.00718337,-76.68142782,2.308300e-09, 2.632  5.382  7.916 
3mer-0+12+14,-0.00053928,6,-0.00107856,-76.68250637,3.070020e-10, 5.156  5.382  7.916 
3mer-0+6+37,0.01904958,6,0.03809915,-76.64440722,2.034164e-09, 2.680  5.514  7.916 
3mer-0+12+69,0.00105676,6,0.00211353,-76.64229369,2.021833e-10, 5.156  6.186  7.916 
3mer-0+2+15,-0.00659788,6,-0.01319576,-76.65548946,1.520185e-09, 2.632  6.186  7.916 
3mer-0+2+23,0.00587797,6,0.01175594,-76.64373352,1.520185e-09, 2.632  6.186  7.916 
3mer-0+14+65,-0.00201008,6,-0.00402017,-76.64775368,1.002056e-10, 5.382  7.489  7.916 
3mer-0+15+69,-0.00274181,6,-0.00548362,-76.65323730,6.599276e-11, 6.186  7.489  7.916 
3mer-0+8+18,-0.00021293,6,-0.00042586,-76.65366316,6.564707e-11, 6.194  7.492  7.916 
3mer-0+10+18,-0.00002573,6,-0.00005146,-76.65371462,5.081557e-11, 6.746  7.492  7.916 
3mer-0+21+45,-0.00424465,6,-0.00848929,-76.66220391,1.021191e-10, 5.059  7.916  7.916 
3mer-0+2+16,0.02413491,6,0.04826981,-76.61393410,3.332494e-09, 2.632  4.716  7.992 
3mer-0+2+42,-0.00740758,6,-0.01481517,-76.62874927,3.332494e-09, 2.632  4.716  7.992 
3mer-0+6+84,-0.02675358,6,-0.05350716,-76.68225642,2.125677e-09, 2.680  5.382  7.992 
3mer-0+6+51,-0.01356806,6,-0.02713611,-76.70939254,2.125677e-09, 2.680  5.382  7.992 
3mer-0+8+14,0.00153881,6,0.00307761,-76.70631493,1.721219e-10, 5.382  6.194  7.992 
3mer-0+10+28,0.00081522,6,0.00163044,-76.70468449,1.332348e-10, 5.382  6.746  7.992 
3mer-0+27+37,0.00199879,6,0.00399759,-76.70068691,9.054064e-11, 5.514  7.489  7.992 
3mer-0+27+42,0.00156138,6,0.00312277,-76.69756414,9.054064e-11, 5.514  7.489  7.992 
3mer-0+8+40,0.00103970,6,0.00207940,-76.69548474,1.133549e-10, 6.186  6.194  7.992 
3mer-0+10+40,0.00054164,6,0.00108328,-76.69440146,8.774486e-11, 6.186  6.746  7.992 
3mer-0+6+42,-0.03624476,6,-0.07248952,-76.76689098,1.399914e-09, 2.680  6.186  7.992 
3mer-0+6+23,-0.02295474,6,-0.04590949,-76.81280047,1.399914e-09, 2.680  6.186  7.992 
3mer-0+2+84,0.00412860,6,0.00825720,-76.80454327,8.312551e-10, 2.632  7.492  7.992 
3mer-0+1+45,0.00193867,6,0.00387734,-76.80066593,7.805963e-10, 2.544  7.916  7.992 
3mer-0+1+40,-0.00005802,6,-0.00011605,-76.80078198,7.805963e-10, 2.544  7.916  7.992 
3mer-0+1+69,0.01183759,6,0.02367518,-76.77710680,7.805963e-10, 2.544  7.916  7.992 
3mer-0+1+42,0.00140648,6,0.00281296,-76.77429384,7.805963e-10, 2.544  7.916  7.992 
3mer-0+5+40,0.00028014,6,0.00056028,-76.77373356,1.025479e-10, 4.956  7.992  7.992 
3mer-0+6+60,0.05732831,6,0.11465662,-76.65907694,2.264277e-09, 2.680  5.059  8.324 
3mer-0+6+25,-0.03180845,6,-0.06361691,-76.72269385,2.264277e-09, 2.680  5.059  8.324 
3mer-0+1+60,-0.00164514,6,-0.00329028,-76.72598412,2.499731e-09, 2.544  5.156  8.324 
3mer-0+1+17,-0.00066478,6,-0.00132955,-76.72731367,2.499731e-09, 2.544  5.156  8.324 
3mer-0+12+60,0.00068368,6,0.00136736,-76.72594631,2.640122e-10, 5.156  5.382  8.324 
3mer-0+6+41,0.02314325,6,0.04628651,-76.67965981,1.749318e-09, 2.680  5.514  8.324 
3mer-0+12+15,-0.00146739,6,-0.00293478,-76.68259459,1.738714e-10, 5.156  6.186  8.324 
3mer-0+14+60,-0.00163411,6,-0.00326822,-76.68586281,8.617374e-11, 5.382  7.489  8.324 
3mer-0+1+78,-0.00805923,6,-0.01611847,-76.70198128,8.159138e-10, 2.544  7.489  8.324 
3mer-0+15+66,-0.00131433,6,-0.00262865,-76.70460993,5.675173e-11, 6.186  7.489  8.324 
3mer-0+1+31,-0.00911521,6,-0.01823042,-76.72284035,8.159138e-10, 2.544  7.489  8.324 
3mer-0+10+22,0.00029353,6,0.00058706,-76.72225329,4.347397e-11, 6.746  7.505  8.324 
3mer-0+10+66,0.00028697,6,0.00057393,-76.72167935,4.347397e-11, 6.746  7.505  8.324 
3mer-0+37+48,-0.00157582,6,-0.00315165,-76.72483100,6.784668e-11, 5.514  7.916  8.324 
3mer-0+16+66,-0.00355335,6,-0.00710670,-76.73193770,9.322600e-11, 4.716  8.324  8.324 
3mer-0+2+30,0.04073962,3,0.04073962,-76.69119809,1.562190e-08, 2.632  2.632  8.557 
3mer-0+5+19,0.00055582,6,0.00111164,-76.69008645,4.065261e-10, 4.716  4.956  8.557 
3mer-0+1+26,-0.00335145,6,-0.00670290,-76.69678935,1.332839e-09, 2.544  6.186  8.557 
3mer-0+1+56,-0.00099113,6,-0.00198225,-76.69877161,1.332839e-09, 2.544  6.186  8.557 
3mer-0+6+122,-0.01497191,6,-0.02994382,-76.72871543,1.136109e-09, 2.680  6.194  8.557 
3mer-0+6+101,-0.00647002,6,-0.01294004,-76.74165547,8.794300e-10, 2.680  6.746  8.557 
3mer-0+12+26,0.00078135,6,0.00156270,-76.74009277,9.019503e-11, 5.156  7.489  8.557 
3mer-0+8+69,0.00070678,6,0.00141357,-76.73867920,4.406358e-11, 6.194  7.916  8.557 
3mer-0+10+48,-0.00010397,6,-0.00020794,-76.73888714,3.410839e-11, 6.746  7.916  8.557 
3mer-0+2+26,0.00019271,6,0.00038542,-76.73850172,5.579545e-10, 2.632  7.992  8.557 
3mer-0+1+43,-0.02309626,6,-0.04619252,-76.78469423,2.403843e-09, 2.544  5.059  8.595 
3mer-0+1+25,-0.00468730,6,-0.00937461,-76.79406884,2.403843e-09, 2.544  5.059  8.595 
3mer-0+10+12,-0.00068210,6,-0.00136421,-76.79543305,1.217946e-10, 5.156  6.746  8.595 
3mer-0+6+62,0.01107961,6,0.02215922,-76.77327383,1.943156e-09, 2.680  5.156  8.595 
3mer-0+8+43,-0.00034394,6,-0.00068788,-76.77396171,1.573427e-10, 5.156  6.194  8.595 
3mer-0+6+17,0.02019639,6,0.04039279,-76.73356893,1.943156e-09, 2.680  5.156  8.595 
3mer-0+14+41,-0.00107751,6,-0.00215501,-76.73572394,1.961444e-10, 5.382  5.514  8.595 
3mer-0+15+37,-0.00167087,6,-0.00334174,-76.73906567,1.291754e-10, 5.514  6.186  8.595 
3mer-0+6+43,0.03740996,6,0.07481991,-76.66424576,6.342474e-10, 2.680  7.489  8.595 
3mer-0+8+31,0.00080340,6,0.00160681,-76.66263895,5.135675e-11, 6.194  7.489  8.595 
3mer-0+6+87,0.00959305,6,0.01918610,-76.64345285,6.342474e-10, 2.680  7.489  8.595 
3mer-0+10+53,-0.00127914,6,-0.00255829,-76.64601114,3.975384e-11, 6.746  7.489  8.595 
3mer-0+1+87,-0.00003151,6,-0.00006301,-76.64607415,7.363521e-10, 2.544  7.505  8.595 
3mer-0+2+43,-0.00301329,6,-0.00602657,-76.65210072,4.873058e-10, 2.632  8.324  8.595 
3mer-0+2+60,-0.00595175,6,-0.01190349,-76.66400421,4.873058e-10, 2.632  8.324  8.595 
3mer-0+2+53,0.00133769,6,0.00267538,-76.66132883,4.873058e-10, 2.632  8.324  8.595 
3mer-0+2+85,0.00163490,6,0.00326980,-76.65805903,4.873058e-10, 2.632  8.324  8.595 
3mer-0+5+43,0.00015490,6,0.00030981,-76.65774922,6.628582e-11, 4.956  8.595  8.595 
3mer-0+12+59,-0.00256301,6,-0.00512603,-76.66287525,3.370660e-10, 4.716  5.156  8.756 
3mer-0+12+19,0.00091262,6,0.00182525,-76.66105000,3.370660e-10, 4.716  5.156  8.756 
3mer-0+6+46,0.01526203,6,0.03052406,-76.63052594,1.616568e-09, 2.680  5.382  8.756 
3mer-0+10+14,-0.00110402,6,-0.00220805,-76.63273399,1.013245e-10, 5.382  6.746  8.756 
3mer-0+2+37,-0.00826218,6,-0.01652437,-76.64925836,1.586136e-09, 2.632  5.514  8.756 
3mer-0+2+68,0.00348351,6,0.00696703,-76.64229133,1.586136e-09, 2.632  5.514  8.756 
3mer-0+8+59,-0.00011053,6,-0.00022107,-76.64251240,8.620589e-11, 6.186  6.194  8.756 
3mer-0+6+15,0.00438511,6,0.00877022,-76.63374218,1.064628e-09, 2.680  6.186  8.756 
3mer-0+12+18,-0.00081548,6,-0.00163096,-76.63537314,8.407752e-11, 5.156  7.492  8.756 
3mer-0+43+69,-0.00004437,6,-0.00008874,-76.63546188,1.539148e-11, 7.916  8.595  8.756 
3mer-0+1+48,-0.00634741,6,-0.01269482,-76.64815670,5.936401e-10, 2.544  7.916  8.756 
3mer-0+1+59,-0.00619250,6,-0.01238501,-76.66054171,5.936401e-10, 2.544  7.916  8.756 
3mer-0+43+59,0.00001785,6,0.00003571,-76.66050600,1.539148e-11, 7.916  8.595  8.756 
3mer-0+22+42,-0.00021555,6,-0.00043111,-76.66093711,2.246186e-11, 7.505  7.992  8.756 
3mer-0+21+59,0.00231648,6,0.00463296,-76.65630415,7.332740e-11, 5.059  7.992  8.756 
3mer-0+21+42,0.00288989,6,0.00577977,-76.65052437,7.332740e-11, 5.059  7.992  8.756 
3mer-0+15+59,0.00007299,6,0.00014598,-76.65037840,3.550919e-11, 6.186  8.324  8.756 
3mer-0+14+68,-0.00029406,6,-0.00058811,-76.65096651,5.391836e-11, 5.382  8.324  8.756 
3mer-0+12+112,0.00005514,6,0.00011027,-76.65085624,5.643445e-11, 5.156  8.557  8.756 
3mer-0+5+59,-0.00025231,6,-0.00050462,-76.65136086,5.930897e-11, 4.956  8.756  8.756 
3mer-0+1+35,0.03944734,3,0.03944734,-76.61191351,1.736251e-08, 2.544  2.544  8.843 
3mer-0+5+21,0.00028723,6,0.00057446,-76.61133905,2.983961e-10, 4.956  5.059  8.843 
3mer-0+2+62,-0.00380566,6,-0.00761132,-76.61895038,1.882574e-09, 2.632  5.156  8.843 
3mer-0+26+32,0.00050646,6,0.00101292,-76.61793746,4.479906e-11, 5.514  8.557  8.843 
3mer-0+14+73,-0.00122821,6,-0.00245642,-76.62039388,1.275493e-10, 5.382  6.186  8.843 
3mer-0+6+20,-0.00073409,6,-0.00146818,-76.62186206,7.968392e-10, 2.680  6.746  8.843 
3mer-0+6+130,-0.01623294,6,-0.03246588,-76.65432794,7.968392e-10, 2.680  6.746  8.843 
3mer-0+2+32,-0.00682866,6,-0.01365732,-76.66798526,6.144735e-10, 2.632  7.489  8.843 
3mer-0+32+40,0.00026097,6,0.00052195,-76.66746331,1.373187e-11, 7.992  8.756  8.843 
3mer-0+8+32,0.00028802,6,0.00057603,-76.66688728,3.433460e-11, 6.194  8.324  8.843 
3mer-0+8+78,0.00091998,6,0.00183995,-76.66504733,3.433460e-11, 6.194  8.324  8.843 
3mer-0+1+32,-0.00537177,6,-0.01074354,-76.67579087,4.501628e-10, 2.544  8.595  8.843 
3mer-0+18+21,-0.00009872,6,-0.00019744,-76.67598831,8.225880e-11, 5.059  7.492  8.989 
3mer-0+2+44,0.00070442,6,0.00140884,-76.67457946,1.792541e-09, 2.632  5.156  8.989 
3mer-0+1+46,-0.01044450,6,-0.02088900,-76.69546846,1.746064e-09, 2.544  5.382  8.989 
3mer-0+5+37,-0.00038043,6,-0.00076087,-76.69622933,2.195074e-10, 4.956  5.514  8.989 
3mer-0+6+10,0.00460381,6,0.00920763,-76.68702171,7.587307e-10, 2.680  6.746  8.989 
3mer-0+10+44,-0.00037413,6,-0.00074827,-76.68776997,2.942711e-11, 6.746  7.916  8.989 
