N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+68+121,-0.00000683,1,-0.00000228,-76.43863929,1.428251e-13, 8.756 14.507 22.319 
3mer-0+94+136,-0.00001050,1,-0.00000350,-76.43864279,5.804388e-14,11.654 14.714 22.319 
3mer-0+45+143,-0.00000998,1,-0.00000333,-76.43864612,1.769673e-13, 7.916 14.939 22.319 
3mer-0+77+159,0.00000053,1,0.00000018,-76.43864594,5.811241e-14,11.016 15.560 22.319 
3mer-0+52+105,-0.00003229,1,-0.00001076,-76.43865670,1.771036e-13,10.840 10.895 22.343 
3mer-0+86+98,0.00002731,1,0.00000910,-76.43864760,1.771036e-13,10.840 10.895 22.343 
3mer-0+89+115,0.00000184,1,0.00000061,-76.43864699,8.532742e-14,11.150 13.512 22.343 
3mer-0+42+151,-0.00012051,2,-0.00008034,-76.43872733,4.123116e-13, 7.992 11.150 22.343 
3mer-0+88+154,0.00007273,2,0.00004848,-76.43867885,1.188501e-13,11.150 12.099 22.343 
3mer-0+54+132,0.00001707,1,0.00000569,-76.43867316,1.772673e-13,10.437 11.312 22.343 
3mer-0+59+158,0.00006117,2,0.00004078,-76.43863238,2.745687e-13, 8.756 11.654 22.343 
3mer-0+84+108,-0.00001155,1,-0.00000385,-76.43863623,3.610392e-13, 7.992 11.654 22.343 
3mer-0+69+102,-0.00004595,1,-0.00001532,-76.43865154,3.154373e-13, 7.916 12.308 22.343 
3mer-0+48+147,0.00007456,1,0.00002485,-76.43862669,2.515655e-13, 7.916 13.272 22.343 
3mer-0+94+103,-0.00001103,1,-0.00000368,-76.43863036,7.471665e-14,11.654 13.512 22.343 
3mer-0+45+113,-0.00006695,1,-0.00002232,-76.43865268,2.280519e-13, 7.916 13.713 22.343 
3mer-0+119+137,0.00000341,1,0.00000114,-76.43865154,5.775387e-14,12.481 13.747 22.343 
3mer-0+95+121,0.00001286,1,0.00000429,-76.43864725,6.894546e-14,11.150 14.507 22.343 
3mer-0+142+143,-0.00000473,1,-0.00000158,-76.43864883,6.044913e-14,11.312 14.939 22.343 
3mer-0+40+159,0.00002731,1,0.00000910,-76.43863973,1.516888e-13, 7.992 15.560 22.343 
3mer-0+108+162,0.00000000,1,0.00000000,-76.43863973,4.729841e-14,11.654 15.736 22.343 
3mer-0+59+107,-0.00001392,2,-0.00000928,-76.43864900,3.828149e-13, 8.756 10.429 22.350 
3mer-0+68+90,-0.00002573,1,-0.00000858,-76.43865758,3.247822e-13, 8.756 11.016 22.350 
3mer-0+104+115,0.00001497,1,0.00000499,-76.43865259,1.185046e-13,11.150 12.106 22.350 
3mer-0+78+142,-0.00001260,2,-0.00000840,-76.43866099,3.490784e-13, 8.324 11.312 22.350 
3mer-0+65+153,-0.00000131,2,-0.00000088,-76.43866187,3.526371e-13, 7.916 11.855 22.350 
3mer-0+64+99,0.00005093,2,0.00003396,-76.43862791,1.450996e-13,10.429 12.099 22.350 
3mer-0+77+88,-0.00002442,2,-0.00001628,-76.43864419,1.231032e-13,11.016 12.099 22.350 
3mer-0+108+128,0.00000761,1,0.00000254,-76.43864165,1.037682e-13,11.654 12.106 22.350 
3mer-0+37+163,-0.00031532,1,-0.00010511,-76.43874676,8.941694e-13, 5.514 12.481 22.350 
3mer-0+55+119,-0.00009898,2,-0.00006599,-76.43881275,1.643520e-13, 9.698 12.481 22.350 
3mer-0+72+147,0.00001917,1,0.00000639,-76.43880636,1.005188e-13,10.744 13.272 22.350 
3mer-0+95+146,0.00002888,1,0.00000963,-76.43879673,8.588988e-14,11.150 13.478 22.350 
3mer-0+94+127,0.00003518,1,0.00001173,-76.43878500,7.520917e-14,11.654 13.478 22.350 
3mer-0+44+149,0.00002599,1,0.00000866,-76.43877634,1.578634e-13, 8.989 13.648 22.350 
3mer-0+82+116,0.00002258,1,0.00000753,-76.43876881,6.198253e-14,12.275 13.648 22.350 
3mer-0+92+137,0.00000866,1,0.00000289,-76.43876593,7.334751e-14,11.522 13.747 22.350 
3mer-0+86+145,0.00001470,1,0.00000490,-76.43876102,7.995833e-14,10.840 14.197 22.350 
3mer-0+121+157,0.00000420,1,0.00000140,-76.43875962,2.996831e-14,14.507 14.714 22.350 
3mer-0+47+143,0.00000683,1,0.00000228,-76.43875735,8.685942e-14,10.021 14.939 22.350 
3mer-0+80+161,0.00001076,1,0.00000359,-76.43875376,5.443050e-14,11.522 15.184 22.350 
3mer-0+136+150,0.00000578,1,0.00000193,-76.43875184,2.347871e-14,14.714 15.736 22.350 
3mer-0+148+162,0.00000289,1,0.00000096,-76.43875087,1.875601e-14,15.736 15.858 22.350 
3mer-0+92+101,0.00013521,1,0.00004507,-76.43870580,6.095210e-13, 6.746 11.522 22.487 
3mer-0+76+111,0.00003308,1,0.00001103,-76.43869477,2.428794e-13, 8.595 12.288 22.487 
3mer-0+82+130,0.00007273,1,0.00002424,-76.43867053,2.237081e-13, 8.843 12.275 22.487 
3mer-0+63+164,-0.00004385,1,-0.00001462,-76.43868515,9.884409e-14,11.780 12.099 22.487 
3mer-0+79+81,0.00009399,1,0.00003133,-76.43865382,3.535130e-13, 7.489 12.445 22.487 
3mer-0+73+106,-0.00003833,1,-0.00001278,-76.43866659,4.503920e-13, 6.186 13.898 22.487 
3mer-0+122+155,-0.00000551,1,-0.00000184,-76.43866843,1.478598e-13, 8.557 14.563 22.487 
3mer-0+78+131,-0.00001339,1,-0.00000446,-76.43867290,1.355667e-13, 8.324 15.410 22.487 
3mer-0+62+162,-0.00004096,1,-0.00001365,-76.43868655,5.357021e-13, 5.156 15.736 22.487 
3mer-0+129+144,-0.00000105,1,-0.00000035,-76.43868690,4.560513e-14,11.651 15.831 22.487 
3mer-0+67+156,-0.00000788,1,-0.00000263,-76.43868952,6.844038e-14, 9.698 16.613 22.487 
3mer-0+60+139,-0.00009793,2,-0.00006529,-76.43875481,3.115298e-13, 8.324 11.651 22.539 
3mer-0+78+139,0.00006511,2,0.00004341,-76.43871140,3.115298e-13, 8.324 11.651 22.539 
3mer-0+60+160,0.00002993,2,0.00001995,-76.43869145,2.956923e-13, 8.324 11.855 22.539 
3mer-0+119+160,0.00000788,2,0.00000525,-76.43868620,8.771525e-14,11.855 12.481 22.539 
3mer-0+43+128,-0.00003256,1,-0.00001085,-76.43869705,2.522322e-13, 8.595 12.106 22.539 
3mer-0+64+128,0.00001785,1,0.00000595,-76.43869110,1.412059e-13,10.429 12.106 22.539 
3mer-0+53+104,-0.00002941,1,-0.00000980,-76.43870090,2.522322e-13, 8.595 12.106 22.539 
3mer-0+77+104,-0.00000788,1,-0.00000263,-76.43870353,1.197998e-13,11.016 12.106 22.539 
3mer-0+43+146,-0.00004017,1,-0.00001339,-76.43871692,1.828131e-13, 8.595 13.478 22.539 
3mer-0+90+146,0.00001864,1,0.00000621,-76.43871070,8.682862e-14,11.016 13.478 22.539 
3mer-0+53+127,-0.00008165,1,-0.00002722,-76.43873792,1.828131e-13, 8.595 13.478 22.539 
3mer-0+107+127,0.00001654,1,0.00000551,-76.43873241,1.023433e-13,10.429 13.478 22.539 
3mer-0+80+123,-0.00000158,1,-0.00000053,-76.43873293,7.053436e-14,11.522 13.810 22.539 
3mer-0+92+123,-0.00000945,1,-0.00000315,-76.43873608,7.053436e-14,11.522 13.810 22.539 
3mer-0+80+145,0.00000971,1,0.00000324,-76.43873284,6.492539e-14,11.522 14.197 22.539 
3mer-0+143+145,0.00000289,1,0.00000096,-76.43873188,2.978508e-14,14.197 14.939 22.539 
3mer-0+58+155,-0.00000709,1,-0.00000236,-76.43873424,7.418498e-14,10.744 14.563 22.539 
3mer-0+72+155,-0.00002048,1,-0.00000683,-76.43874107,7.418498e-14,10.744 14.563 22.539 
3mer-0+104+124,0.00001234,1,0.00000411,-76.43873696,3.726490e-13, 7.505 12.106 22.663 
3mer-0+58+111,-0.00000788,1,-0.00000263,-76.43873958,3.549940e-13, 8.595 10.744 22.663 
3mer-0+80+87,0.00006459,1,0.00002153,-76.43871805,2.878373e-13, 8.595 11.522 22.663 
3mer-0+128+130,0.00001890,1,0.00000630,-76.43871175,2.278159e-13, 8.843 12.106 22.663 
3mer-0+146+152,-0.00004437,1,-0.00001479,-76.43872654,1.572200e-13, 8.989 13.478 22.663 
3mer-0+72+138,0.00001759,1,0.00000586,-76.43872068,1.987345e-13,10.429 10.744 22.663 
3mer-0+92+118,-0.00002310,1,-0.00000770,-76.43872838,1.367108e-13,11.016 11.522 22.663 
3mer-0+63+139,-0.00000683,1,-0.00000228,-76.43873066,1.081293e-13,11.651 11.780 22.663 
